code;location;registered;envelopes;valid;Občanská demokratická strana;Řád národa - Vlastenecká unie;CESTA ODPOVĚDNÉ SPOLEČNOSTI;Česká str.sociálně demokrat.;Radostné Česko;STAROSTOVÉ A NEZÁVISLÍ;Komunistická str.Čech a Moravy;Strana zelených;ROZUMNÍ-stop migraci,diktát.EU;Strana svobodných občanů;Blok proti islam.-Obran.domova;Občanská demokratická aliance;Česká pirátská strana;Unie H.A.V.E.L.;Referendum o Evropské unii;TOP 09;ANO 2011;Dobrá volba 2016;SPR-Republ.str.Čsl. M.Sládka;Křesť.demokr.unie-Čs.str.lid.;Česká strana národně sociální;REALISTÉ;SPORTOVCI;Dělnic.str.sociální spravedl.;Svob.a př.dem.-T.Okamura (SPD);Strana Práv Občanů
530000;Křivsoudov;222;222;222;17;0;0;16;0;19;11;4;1;3;0;3;41;0;0;5;66;0;1;18;0;0;0;0;16;1
530026;Kuňovice;61;61;61;5;0;0;3;0;6;3;0;0;0;0;0;3;0;0;2;28;0;0;7;0;0;1;0;3;0
530051;Lešany;371;370;371;37;0;0;13;0;31;39;6;1;13;2;1;40;0;0;13;105;0;0;16;0;4;1;1;44;3
530069;Libež;107;107;107;5;2;0;10;0;3;15;0;0;2;0;0;3;0;0;0;42;0;0;8;0;1;1;0;15;0
532258;Litichovice;39;39;39;2;0;0;0;0;4;4;1;0;0;0;1;3;0;0;3;10;0;1;6;0;0;0;0;4;0
530093;Loket;351;350;351;24;0;0;31;0;16;28;2;4;6;0;0;46;0;0;19;88;0;0;45;0;1;0;1;39;0
530107;Louňovice pod Blaníkem;369;365;369;43;2;0;32;0;25;25;4;1;0;0;0;35;1;0;14;138;0;1;20;0;1;0;0;23;0
532193;Lštění;225;226;225;32;0;0;11;0;24;20;2;1;6;0;1;30;1;1;28;43;0;0;8;0;1;0;0;16;1
530115;Maršovice;421;419;421;26;0;0;23;0;35;43;11;2;4;0;0;55;0;0;23;131;0;1;24;0;3;0;2;36;0
530158;Mezno;203;201;203;20;0;0;18;0;19;24;0;1;11;0;0;18;0;0;3;57;0;0;9;0;3;2;1;14;1
530166;Miličín;449;449;449;33;0;0;27;0;44;28;6;6;3;0;1;40;1;2;23;176;0;1;21;1;1;0;0;35;0
530174;Miřetice;102;100;102;18;0;0;2;0;8;0;0;0;0;0;0;9;0;0;4;34;0;0;7;0;2;1;0;15;0
530191;Mnichovice;114;114;114;8;0;0;9;0;5;16;3;1;0;2;0;10;0;0;0;43;0;0;11;0;0;0;0;6;0
530204;Mrač;429;429;429;47;0;0;19;0;56;34;12;4;7;0;0;47;0;1;14;140;1;0;8;0;5;1;1;32;0
530212;Načeradec;512;509;512;42;1;0;28;1;42;52;2;1;6;1;1;51;0;0;14;182;0;1;34;0;2;2;3;43;0
530263;Nespeky;389;388;389;65;0;0;24;0;26;19;6;1;3;0;0;63;0;1;34;116;0;0;8;0;1;0;1;20;0
530298;Netvořice;574;573;574;64;1;0;42;0;46;60;6;1;10;1;0;60;0;2;23;189;1;1;8;0;0;0;4;53;1
530301;Neustupov;264;263;264;5;0;0;26;0;24;21;3;4;11;0;0;15;2;0;11;98;0;0;9;0;2;1;0;31;0
530310;Neveklov;1 237;1 218;1 237;153;2;0;81;1;76;82;21;8;18;3;3;147;1;2;83;376;1;4;39;1;1;2;6;106;1
530344;Olbramovice;664;660;664;44;0;1;41;0;57;61;9;3;1;0;0;49;4;0;28;285;1;0;20;0;7;2;1;43;3
599395;Ostrov;32;30;32;2;0;0;0;0;3;4;0;0;0;0;1;5;0;0;0;10;0;0;1;0;1;0;0;3;0
530352;Ostředek;206;205;206;18;0;0;15;0;18;6;2;8;3;1;0;25;0;1;12;75;0;0;12;0;0;0;0;9;0
533076;Pavlovice;121;119;121;4;2;0;13;0;6;15;2;4;2;0;0;6;0;0;4;37;0;1;10;0;0;0;0;13;0
530409;Petroupim;161;161;161;21;2;0;13;0;22;6;3;2;0;1;0;13;0;0;5;61;0;3;2;0;1;0;0;6;0
532649;Popovice;157;155;157;13;0;0;15;0;10;18;2;1;1;0;0;16;0;1;3;51;0;0;5;0;0;0;0;19;0
530441;Poříčí nad Sázavou;670;669;670;102;0;0;46;0;63;24;7;3;9;0;0;51;0;1;54;211;2;0;20;0;2;2;0;69;3
530450;Postupice;662;653;662;68;0;0;30;2;70;42;7;3;4;0;0;76;0;2;17;255;0;0;20;0;10;1;2;41;3
530476;Pravonín;290;289;290;26;0;0;19;0;22;30;2;0;9;0;0;29;0;0;6;95;0;0;11;0;6;0;0;34;0
530492;Přestavlky u Čerčan;222;221;222;39;1;0;13;0;10;10;2;4;1;0;0;24;1;0;15;82;0;0;7;0;0;0;1;10;1
530514;Psáře;69;69;69;10;0;0;5;0;7;7;1;0;1;0;0;7;0;0;3;13;0;0;6;0;0;1;0;8;0
538680;Pyšely;1 014;1 008;1 014;175;0;1;60;0;135;40;16;7;18;1;3;146;1;3;73;223;0;0;27;0;7;0;0;70;2
530522;Rabyně;168;168;168;38;1;0;9;0;11;11;0;2;1;0;0;19;0;0;9;41;0;0;8;0;0;0;0;15;3
530531;Radošovice;184;183;184;19;1;0;8;0;20;16;0;2;6;0;0;16;1;0;10;38;0;0;33;0;1;1;0;11;0
530549;Rataje;104;104;104;8;0;0;10;0;10;11;2;2;0;0;0;6;0;0;3;28;0;0;12;0;0;0;0;12;0
532550;Ratměřice;156;155;156;18;0;0;7;1;35;10;2;0;1;0;0;10;0;0;12;41;0;0;4;0;1;0;3;10;0
538710;Řehenice;252;252;252;34;0;0;15;0;26;8;2;4;2;0;0;48;1;1;20;69;0;0;4;0;1;0;0;17;0
532941;Řimovice;108;108;108;7;0;0;5;0;8;10;1;1;1;0;0;18;0;0;6;27;0;0;9;0;0;0;0;15;0
