code;location;registered;envelopes;valid;Občanská demokratická strana;Řád národa - Vlastenecká unie;CESTA ODPOVĚDNÉ SPOLEČNOSTI;Česká str.sociálně demokrat.;Radostné Česko;STAROSTOVÉ A NEZÁVISLÍ;Komunistická str.Čech a Moravy;Strana zelených;ROZUMNÍ-stop migraci,diktát.EU;Strana svobodných občanů;Blok proti islam.-Obran.domova;Občanská demokratická aliance;Česká pirátská strana;Unie H.A.V.E.L.;Referendum o Evropské unii;TOP 09;ANO 2011;Dobrá volba 2016;SPR-Republ.str.Čsl. M.Sládka;Křesť.demokr.unie-Čs.str.lid.;Česká strana národně sociální;REALISTÉ;SPORTOVCI;Dělnic.str.sociální spravedl.;Svob.a př.dem.-T.Okamura (SPD);Strana Práv Občanů
537667;Písty;243;241;243;19;2;0;21;0;24;19;1;0;7;1;0;14;0;1;4;100;1;0;4;0;0;0;0;23;0
537683;Poděbrady;7 565;7 525;7 565;1 180;14;4;673;8;720;360;91;41;91;5;8;888;2;5;540;1 958;5;1;300;4;38;12;11;553;13
599590;Podmoky;98;98;98;11;0;0;6;1;7;6;0;2;2;0;0;11;0;0;5;32;0;0;6;0;1;0;0;8;0
537721;Přerov nad Labem;612;608;612;94;3;0;29;1;34;51;7;5;7;1;2;98;0;0;32;193;0;1;10;0;1;1;2;36;0
537756;Rožďalovice;713;709;713;75;0;0;54;1;30;57;12;5;10;0;1;58;1;2;27;271;1;2;14;1;6;2;8;70;1
537764;Sadská;1 646;1 630;1 646;213;5;0;86;0;108;139;25;12;18;4;2;158;2;1;60;554;0;4;35;0;7;1;3;192;1
537772;Sány;256;255;256;22;0;0;11;0;47;19;1;2;8;0;0;18;0;0;3;86;0;0;9;0;0;0;1;28;0
534757;Seletice;120;118;120;12;0;0;11;0;11;8;2;2;0;0;0;8;1;0;2;45;0;1;0;0;1;0;0;14;0
537781;Semice;452;444;452;62;0;0;28;0;38;32;0;7;6;1;3;49;0;0;20;149;0;0;16;0;0;0;0;33;0
537799;Senice;117;117;117;13;0;0;4;0;11;13;0;0;2;0;0;4;0;0;7;43;0;0;0;0;3;0;0;17;0
537802;Sloveč;256;252;256;23;1;0;20;0;18;29;4;1;4;0;0;20;0;0;10;105;0;1;6;0;0;2;0;8;0
537811;Sokoleč;513;511;513;71;2;0;50;0;31;41;6;3;11;0;0;43;1;0;11;187;0;1;4;1;0;1;4;40;3
537837;Stará Lysá;293;292;293;32;1;0;11;0;18;13;4;2;6;0;0;44;0;0;7;103;0;0;12;0;4;0;3;31;1
534889;Starý Vestec;90;88;90;9;3;0;8;0;5;9;0;2;0;0;0;8;0;0;0;30;0;0;1;0;0;0;0;13;0
537853;Straky;259;258;259;20;0;1;16;0;20;14;1;8;1;1;0;23;1;0;5;102;0;2;5;0;1;0;0;37;0
537861;Stratov;269;266;269;26;1;0;17;0;13;29;1;1;1;0;0;53;0;1;7;94;0;0;1;0;5;1;0;15;0
537896;Třebestovice;422;419;422;45;0;1;23;0;32;25;8;3;3;0;0;43;0;1;26;143;1;2;9;1;0;3;2;45;3
537900;Úmyslovice;158;157;158;7;0;0;10;0;23;11;0;5;1;2;0;13;0;0;5;54;0;1;2;0;0;0;0;23;0
536083;Velenice;107;106;107;5;0;0;3;0;10;14;1;1;0;0;0;12;0;0;6;34;0;0;2;0;0;0;0;17;1
534871;Velenka;160;158;160;24;2;1;10;1;15;13;0;2;0;1;0;19;0;0;11;47;0;0;1;0;0;0;0;11;0
537942;Vestec;160;158;160;11;1;0;12;0;12;19;1;1;3;2;0;16;0;0;8;46;0;0;4;0;1;0;1;20;0
537951;Vlkov pod Oškobrhem;46;46;46;3;0;0;6;0;3;5;0;2;0;0;0;3;0;0;2;12;0;0;2;1;0;0;0;7;0
599611;Vrbice;104;104;104;12;0;0;6;0;3;9;2;1;1;0;0;6;0;0;4;45;0;0;10;0;1;0;0;4;0
537977;Vrbová Lhota;240;240;240;38;0;0;20;0;32;9;4;4;5;0;0;20;1;0;13;63;0;2;6;0;0;0;1;22;0
537985;Všechlapy;369;368;369;28;0;0;21;0;22;26;5;3;4;2;0;32;0;0;21;111;0;0;9;0;1;0;1;82;0
537993;Vykáň;183;181;183;21;10;0;11;0;9;15;2;6;1;0;0;15;0;0;7;55;0;2;3;0;1;0;1;21;1
534471;Záhornice;181;178;181;21;0;0;13;0;5;15;2;0;1;0;1;13;1;0;7;86;0;1;1;0;0;1;0;10;0
599697;Zbožíčko;103;103;103;4;0;0;10;0;6;10;4;1;0;0;0;12;0;1;2;35;0;0;0;0;1;0;2;15;0
534862;Zvěřínek;154;154;154;33;0;0;10;0;7;13;0;0;1;0;0;22;0;0;4;40;0;0;5;0;2;0;0;17;0
503410;Žitovlice;85;83;85;6;0;0;6;0;2;8;1;1;1;0;0;7;1;0;1;30;0;0;2;0;0;1;0;16;0
